name,location,address,venue_type,capacity,contact_email,contact_phone,website,typical_genres
The Local,"Boone, NC","179 Howard St. Boone, NC 28607",bar,,thelocalboone@gmail.com,(828) 266-2179,https://www.thelocalboone.com/,Pop
White Horse Black Mountain,"Black Mountain, NC","105 Montreat Road Black Mountain, NC 28711",club,300,,(828) 669-0816,https://whitehorseblackmountain.org/,All Genres (excl. Hard Rock/Metal/Punk/Rap/Thrash)
Saloon Studios Live,"West Jefferson, NC","313 Old W Rd. West Jefferson, NC 28694",club,150,info@saloonstudioslive.com,(336) 877-2374,https://saloonstudioslive.com/,Rock; Country; Variety
The Barn at Paint Fork,"Barnardsville, NC","445 Paint Fork Rd. Barnardsville, NC 28709",club,,,(174) 661-0265,https://barnpf.com/,Live Music; Rap
Reeves Theater & Cafe,"Elkin, NC","129 W Main St. Elkin, NC 28621",club,,info@reevestheater.com; booking@reevestheater.com,(336) 258-8240,https://www.reevestheater.com/,Bluegrass; Blues; Classical; Country; Eclectic; Jazz; Pop; Rap
Feed & Seed,"Fletcher, NC",3715 Hendersonville Rd. Fletcher NC 28732,club,160,philliptrees@aol.com,(828) 216-3492,https://feedandseednc.com/,Bluegrass; Country; Old-time; Roots
The Grey Eagle Music Hall & Pub,"Asheville, NC","185 Clingman Ave. Asheville, NC 28801",club,550,info@thegreyeagle.com,(828) 232-5800,https://www.thegreyeagle.com/,Eclectic: bluegrass; jazz; rock; indie; folk; blues
Silverados,"Black Mountain, NC","2898 US-70 Black Mountain, NC 28711",club,,,(828) 357-8592,https://silveradoswnc.com/,
Wayneo’s Silver Bullet,"Hickory, NC","5172 NC Highway 127 S Hickory, NC 28602",club,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,(704) 462-1030,https://www.wayneossilverbullet.com/,Acoustic; Classic Rock; Country; Diverse; Live Music; Pop; Rap; Rock
Junction Drinkery & Live Music,"Catawba, NC","104 S. Main Street Catawba, NC 28609",bar,,hello@junctiondrinkery.com,(828) 578-4595,https://www.junctiondrinkery.com/,Live Music; Pop; Rock; Variety
Pisgah Brewing Company,"Black Mountain, NC","2948 US Highway 70, Black Mountain, NC 28711",bar,2250,info@pisgahbrewing.com,(828) 669-0190,https://www.pisgahbrewing.com/,
The Railyard Black Mountain,"Black Mountain, NC","141 Richardson Blvd. Black Mountain, NC 28711",bar,,hello@railyardblkmtn.com,(828) 357-8108,https://www.facebook.com/Railyardblkmtn/,Live Music; Pop; Rock; Soul
The Orange Peel,"Asheville, NC","101 Biltmore Ave. Asheville, NC 28801",club,1050,press@theorangepeel.net,(828) 398-1837,https://theorangepeel.net/,Country; Live Music; Pop; Rap; Rock
The Odd,"Asheville, NC","1045 Haywood Rd. Asheville, NC 28806",club,,,(828) 575-9299,https://theoddasheville.com/,Live Music; Metal; Punk; Rock; Touring Acts
Asheville Music Hall,"Asheville, NC","31 Patton Avenue Asheville, NC 28801",club,360,bookamh@ashevillemusichall.com,(828) 255-7777,https://ashevillemusichall.com/,All genres; mid-size touring acts
Harrah's Cherokee Center - Asheville,"Asheville, NC","87 Haywood St. Asheville, NC 28801",club,300,mrodriguez2@ashevillenc.gov,(174) 673-6498,https://www.harrahscherokeecenterasheville.com/,Pop; Rock
Old Town Public House,"Cornelius, NC","21314 Catawba Ave. Cornelius, NC 28031",bar,,hello@drinklivemusic.com,(900) 900-9009,https://www.drinklivemusic.com/,Blues; Country; Jazz; Live Music; Pop; Rap
158 On Main,"Mooresville, NC","158 N Main St. Mooresville, NC 28115",bar,,,(333) 333-3333,https://158onmain.com/,Live Music; Rap; Soul
Salvage Station,"Asheville, NC","466 Riverside Dr. Asheville, NC 28801",club,,info@salvagestation.com,(170) 664-0590,https://salvagestation.com/,Edm; Live Music; Pop
